Time;"ALMemory/KeyAdded";"ALMemory/KeyTypeChanged";"ALMemory/KeyRemoved"
0;"Key1";"BehaviorsRun";"Key1"
0.99639;"Key1";"BehaviorsRun";"Key1"
1.99781;"Key1";"BehaviorsRun";"Key1"
2.99575;"Key1";"BehaviorsRun";"Key1"
3.99621;"Key1";"BehaviorsRun";"Key1"
4.99866;"Key1";"BehaviorsRun";"Key1"
5.99696;"Key1";"BehaviorsRun";"Key1"
6.99724;"Key1";"BehaviorsRun";"Key1"
7.99733;"Key1";"BehaviorsRun";"Key1"
8.99541;"Key1";"BehaviorsRun";"Key1"
9.99611;"Key1";"BehaviorsRun";"Key1"
10.9967;"Key1";"BehaviorsRun";"Key1"
11.9967;"Key1";"BehaviorsRun";"Key1"
12.9971;"Key1";"BehaviorsRun";"Key1"
13.996;"Key1";"BehaviorsRun";"Key1"
14.9968;"Key1";"BehaviorsRun";"Key1"
15.9982;"Key1";"BehaviorsRun";"Key1"
